SPEAKER	SENTENCE	DOMAINID	DOMAIN	CATEGORY	SPEAKERID	SENTENCEID	MAIN	SUB	QA	QACNCT	MQ	SQ	UA	SA	개체명	용어사전	지식베이스
점원	네 다음에 써도 됩니다	F	카페	카페	0	10	기프티콘쿠폰멤버십사용문의		A					네 다음에 써도 됩니다			
고객	이 기프티콘 여기서 사용할 수 있나요?	F	카페	카페	1	1	기프티콘쿠폰멤버십사용문의		Q		이 기프티콘 여기서 사용할 수 있나요?				"기프티콘, 사용"		
점원	사용 가능하십니다	F	카페	카페	0	2	기프티콘쿠폰멤버십사용문의		A					사용 가능하십니다	"사용, 가능"		
고객	그럼 이 기프티콘 쓰고 다른걸로 주문할게요	F	카페	카페	1	3	일반주문		Q		그럼 이 기프티콘 쓰고 다른 걸로 주문할게요				"키프티콘, 주문"		
점원	어떤 걸로 하시겠어요?	F	카페	카페	0	4	일반주문	공통	Q			어떤 걸로 하시겠어요?					
고객	자바칩 프라푸치노에 휘핑 빼고요	F	카페	카페	1	5	일반주문		Q		자바칩 프라푸치노에 휘핑 빼고요				"자바칩 프라푸치노, 휘핑"		
점원	6600원입니다	F	카페	카페	0	6	일반주문		A					6600원입니다	6600원		
고객	여기 기프티콘 대면 되죠?	F	카페	카페	1	7	결제요청		Q		여기 기프티콘 대면 되죠?				"기프티콘, 사용"		
점원	네 현금영수증 해드릴까요?	F	카페	카페	0	8	결제요청	현금영수증문의	Q			네 현금영수증 해드릴까요?			현금영수증		
고객	네 번호 입력할게요	F	카페	카페	1	9	결제요청	현금영수증문의	A				네 번호 입력할게요		"번호, 입력"		
점원	다 되셨습니다	F	카페	카페	0	10	결제요청		A	7				다 되셨습니다			
고객	"따뜻한 아메리카노 한 잔, 아이스라떼 한 잔이요."	F	카페	카페	1	1	일반주문		Q		"따뜻한 아메리카노 한 잔, 아이스 라떼 한 잔이요."				"아메리카노, 한 잔, 아이스 라떼, 한 잔"		
점원	드시고 가시나요?	F	카페	카페	0	2	일반주문	테이크아웃여부	Q			드시고 가시나요?					
고객	"네, 그런데 중간에 테이크 아웃도 가능한가요?"	F	카페	카페	1	3	남은음료테이크아웃문의		Q		"네, 그런데 중간에 테이크 아웃도 가능한가요?"				"중간, 테이크 아웃"		
점원	"네, 카운터로 오시면 테이크 아웃 잔에 담아드려요."	F	카페	카페	0	4	남은음료테이크아웃문의		A					"네, 카운터로 오시면 테이크 아웃 잔에 담아드려요."	"카운터, 테이크 아웃, 잔"		
고객	"네, 스콘도 3개 같이 주세요."	F	카페	카페	1	5	일반주문		Q		"네, 스콘도 3개 같이 주세요."				"스콘, 3개"		
점원	스콘도 드시고 가시나요?	F	카페	카페	0	6	일반주문	테이크아웃여부	Q			스콘도 드시고 가시나요?			"스콘, 3개"		
고객	네.	F	카페	카페	1	7	일반주문	테이크아웃여부	A				네.				
점원	데워드릴까요?	F	카페	카페	0	8	조리요구	조리문의	Q			데워드릴까요?					
고객	"네, 데워주세요."	F	카페	카페	1	9	조리요구	조리문의	A				"네, 데워주세요."				
점원	"네, 잠시만 기다려주세요."	F	카페	카페	0	10	일반주문		A	5				"네, 잠시만 기다려주세요."			
고객	카푸치노 차갑게 되나요?	F	카페	카페	1	1	일반주문		Q		카푸치노 차갑게 되나요?				카푸치노		
점원	가능합니다	F	카페	카페	0	2	일반주문		A					가능합니다			
고객	아이스 카푸치노 개인컵에 주실 수 있나요?	F	카페	카페	1	3	텀블러사용		Q		아이스 카푸치노 개인컵에 주실 수 있나요?				"아이스 카푸치노, 개인컵"		
점원	개인컵 사이즈가 작아서 음료가 다 안 들어가요	F	카페	카페	0	4	텀블러사용		A					개인컵 사이즈가 작아서 음료가 다 안 들어가요	"개인컵, 사이즈, 음료"		
고객	음료와 같이 먹을 빵 추천해주세요	F	카페	카페	1	5	메뉴추천요구		Q		음료와 같이 먹을 빵 추천해주세요				"음료, 빵, 추천"		
점원	호두 베이글이 잘 어울려요	F	카페	카페	0	6	메뉴추천요구		A					호두 베이글이 잘 어울려요	호두 베이글		
고객	모바일 쿠폰으로 결제할 수 있어요?	F	카페	카페	1	7	기프티콘쿠폰멤버십결제요구		Q		모바일 쿠폰으로 결제할 수 있어요?				"모바일 쿠폰, 결제"		
점원	네 가능해요	F	카페	카페	0	8	기프티콘쿠폰멤버십결제요구		A					네 가능해요			
고객	화장실은 어디에 있나요?	F	카페	카페	1	9	화장실위치문의		Q		화장실은 어디에 있나요?				화장실		
점원	오른쪽 벽쪽으로 있어요	F	카페	카페	0	10	화장실위치문의		A					오른쪽 벽 쪽으로 있어요	오른쪽 벽		
고객	여기에서 제일 잘나가는 커피가 뭐에요?	F	카페	카페	1	1	메뉴추천요구		Q		여기에서 제일 잘나가는 커피가 뭐예요?				"제일, 커피"		
점원	요새는 이 라이트한 맛의 아이스아메리카노가 제일 잘나가요.	F	카페	카페	0	2	메뉴추천요구		A					요새는 이 라이트 한 맛의 아이스 아메리카노가 제일 잘나가요.	"라이트, 맛, 아이스 아메리카노"		
고객	라이트한 맛의 아이스아메리카노요?	F	카페	카페	1	3	메뉴문의		Q		라이트 한 맛의 아이스 아메리카노요?				"라이트, 맛, 아이스 아메리카노"		
점원	"네, 저희 가게 마스코트 메뉴에요."	F	카페	카페	0	4	메뉴문의		A					"네, 저희 가게 마스코트 메뉴에요."	"가게, 마스코트, 메뉴"		
고객	"그럼 그거 한잔하고, 카페라떼 주세요."	F	카페	카페	1	5	일반주문		Q		"그럼 그거 한 잔하고, 카페라떼 주세요."				"한 잔, 카페라떼"		
점원	"처음오시는거면, 쿠폰 찍어 드릴까요?"	F	카페	카페	0	6	쿠폰멤버십적립문의	발급문의	Q			"처음 오시는 거면, 쿠폰 찍어 드릴까요?"			쿠폰		
고객	쿠폰 찍어주세요!	F	카페	카페	1	7	쿠폰멤버십적립문의	발급문의	A				쿠폰 찍어주세요!		쿠폰		
점원	10개 다모아오시면 커피한잔 드려요.	F	카페	카페	0	8	일반주문		A					10개 다 모아오시면 커피 한 잔 드려요.	"10개, 커피, 한 잔"		
고객	"오, 감사합니다!"	F	카페	카페	1	9			A				"오, 감사합니다!"				
점원	편하신 자리 앉아계시면 가져다 드릴게요.	F	카페	카페	0	10			A					편하신 자리 앉아계시면 가져다드릴게요.	자리		
고객	아메리카노 톨 사이즈로 주세요	F	카페	카페	1	1	일반주문		Q		아메리카노 톨 사이즈로 주세요				"아메리카노, 톨 사이즈"		
점원	따뜻한 거로 드릴까요?	F	카페	카페	0	2	일반주문	음료온도	Q			따뜻한 거로 드릴까요?					
고객	네 그리고 이 맴버쉽 할인 사용할게요	F	카페	카페	1	3	할인요청		Q		네 그리고 이 멤버십 할인 사용할게요				"멤버십, 할인"		
점원	네 드시고 가시나요?	F	카페	카페	0	4	일반주문	테이크아웃여부	Q			네 드시고 가시나요?					
고객	네 먹고갈게요	F	카페	카페	1	5	일반주문	테이크아웃여부	A				네 먹고 갈게요				
점원	3600원 결제 도와드리겠습니다	F	카페	카페	0	6	할인요청		A	3				3600원 결제 도와드리겠습니다	"3600원, 결제"		
고객	진동밸을 따로 주시나요?	F	카페	카페	1	7	픽업문의		Q		진동밸을 따로 주시나요?				진동밸		
점원	주문번호로 불러드리겠습니다	F	카페	카페	0	8	픽업문의		A					주문번호로 불러드리겠습니다	주문번호		
고객	와이파이 비밀번호는 뭐에요?	F	카페	카페	1	9	와이파이문의		Q		와이파이 비밀번호는 뭐예요?				"와이파이, 비밀번호"		
점원	영수증 하단에 적혀있습니다	F	카페	카페	0	10	와이파이문의		A					영수증 하단에 적혀있습니다	"영수증, 하단"		
고객	계절메뉴 주문가능한가요?	F	카페	카페	1	1	계절메뉴주문문의		Q		계절메뉴 주문 가능한가요?				"계절메뉴, 주문"		
점원	"네, 가능합니다."	F	카페	카페	0	2	계절메뉴주문문의		A					"네, 가능합니다."			
고객	배달 하시나요?	F	카페	카페	1	3	배달문의		Q		배달하시나요?				배달		
점원	"네, 배달비 3000원입니다."	F	카페	카페	0	4	배달문의		A					"네, 배달비 3000원입니다."	"배달비, 3000원"		
고객	콘센트 자리 있나요?	F	카페	카페	1	5	콘센트자리문의		Q		콘센트 자리 있나요?				"콘센트, 자리"		
점원	"네, 있습니다."	F	카페	카페	0	6	콘센트자리문의		A					"네, 있습니다."			
고객	커피에 샷 추가 가능한가요?	F	카페	카페	1	7	에스프레소샷개수요구		Q		커피에 샷 추가 가능한가요?				"커피, 샷, 추가, 가능"		
점원	"네, 가능합니다. "	F	카페	카페	0	8	에스프레소샷개수요구		A					"네, 가능합니다."	가능		
고객	남은 음료 담아 주시나요?	F	카페	카페	1	9	남은음료테이크아웃문의		Q		남은 음료 담아 주시나요?				음료		
점원	"네, 담아드립니다."	F	카페	카페	0	10	남은음료테이크아웃문의		A					"네, 담아드립니다."			
고객	밀크티 있나요?	F	카페	카페	1	1	메뉴문의		Q		밀크티 있나요?				밀크티		
점원	네 있습니다	F	카페	카페	0	2	메뉴문의		A					네 있습니다			
고객	밀크티에 혹시 우유가 들어가나요 아니면 우유 분말이 들어가나요?	F	카페	카페	1	3	재료문의		Q		밀크티에 혹시 우유가 들어가나요 아니면 우유 분말이 들어가나요?				"밀크티, 우유 분말"		
점원	저희는 우유 분말을 사용하고 있어요	F	카페	카페	0	4	재료문의		A					저희는 우유 분말을 사용하고 있어요	"우유 분말, 사용"		
고객	밀크티 홍차 종류는 뭐가 있어요?	F	카페	카페	1	5	메뉴문의		Q		밀크티 홍차 종류는 뭐가 있어요?				"밀크티, 홍차, 종류"		
점원	"루이보스, 아쌈 이렇게 두개있습니다."	F	카페	카페	0	6	메뉴문의		A					"루이보스, 알쌈 이렇게 두 개 있습니다."	"루이보스, 알쌈, 두 개"		
고객	그럼 루이보스 밀크티 하나 주시겠어요?	F	카페	카페	1	7	일반주문		Q		그럼 루이보스 밀크티 하나 주시겠어요?				"루이보스 밀크티, 하나"		
점원	네 알겠습니다.	F	카페	카페	0	8	일반주문		A					네 알겠습니다.			
고객	쿠폰 주시나요?	F	카페	카페	1	9	쿠폰문의		Q		쿠폰 주시나요?				쿠폰		
점원	네 드릴게요 잠시만요	F	카페	카페	0	10	쿠폰문의		A					네 드릴게요 잠시만요			
고객	아이스 아메리카노 한잔이요	F	카페	카페	1	1	일반주문		Q		아이스 아메리카노 한 잔이요				"아이스 아메리카노, 한 잔"		
점원	드시고 가시는거세요?	F	카페	카페	0	2	일반주문	테이크아웃여부	Q			드시고 가시는 거세요?					
고객	아니요	F	카페	카페	1	3	일반주문	테이크아웃여부	A				아니요				
점원	테이크 아웃은 잔 값 따로 더 받는데 괜찮으시겠어요?	F	카페	카페	0	4	옵션추가요구	추가금액안내	Q			테이크 아웃은 잔 값 따로 더 받는데 괜찮으시겠어요?			"테이크 아웃, 잔, 값"		
고객	텀블러 가져왔는데 여기에 담아주세요	F	카페	카페	1	5	텀블러사용		Q		텀블러 가져왔는데 여기에 담아주세요				텀블러		
점원	알겠습니다	F	카페	카페	0	6	텀블러사용		A					알겠습니다			
고객	쿠폰 있는데 도장도 찍어주세요	F	카페	카페	1	7	쿠폰멤버십적립문의		Q		쿠폰 있는데 도장도 찍어주세요				"쿠폰, 도장"		
점원	도장 이미 다 채우셔서 이번 음료 무료로 가능하신데 결제 취소하고 무료로 드릴까요?	F	카페	카페	0	8	쿠폰멤버십적립문의	쿠폰사용문의	Q			도장 이미 다 채우셔서 이번 음료 무료로 가능하신데 결제 취소하고 무료로 드릴까요?			"도장, 음료, 결제, 취소, 무료"		
고객	다음번에 무료로 하고 이번엔 새로 도장 찍어주세요	F	카페	카페	1	9	쿠폰멤버십적립문의		Q		다음번에 무료로 하고 이번엔 새로 도장 찍어주세요				"무료, 도장"		
점원	네	F	카페	카페	0	10	쿠폰멤버십적립문의		A					네			
고객	2명 창가자리에 앉을 수 있을까요?	F	카페	카페	1	1	자리여부문의		Q		2명 창가 자리에 앉을 수 있을까요?				"2명, 창가 자리"		
점원	네 기다리시면 안내해드릴게요	F	카페	카페	0	2	자리여부문의		A					네 기다리시면 안내해드릴게요			
고객	네 부탁드립니다	F	카페	카페	1	3			A				네 부탁드립니다				
점원	주문은 어떤걸로 하시겠어요?	F	카페	카페	0	4	메뉴문의	메뉴종류	Q			주문은 어떤 걸로 하시겠어요?			주문번호		
고객	저는 우선 따뜻한 물이랑 커피주세요	F	카페	카페	1	5	일반주문		Q		저는 우선 따뜻한 물이랑 커피 주세요				"따뜻한 물, 커피"		
점원	커피는 시럽은 넣어드릴까요?	F	카페	카페	0	6	일반주문	시럽여부	Q			커피는 시럽은 넣어드릴까요?			"커피, 시럽"		
고객	아니요 시럽넣지 말고 주세요	F	카페	카페	1	7	일반주문	시럽여부	A				아니요 시럽 넣지 말고 주세요		"시럽, 얼마나"		
점원	네 더 필요한건 없으세요?	F	카페	카페	0	8	일반주문	공통	Q			네 더 필요한 건 없으세요?					
고객	혹시 빵 종류도 있나요?	F	카페	카페	1	9	빵종류문의		Q		혹시 빵 종류도 있나요?				"빵, 종류"		
점원	네 저기서 직접 가져오시면 됩니다	F	카페	카페	0	10	빵종류문의		A					네 저기서 직접 가져오시면 됩니다			
고객	아메리카노 한 잔에 얼마죠?	F	카페	카페	1	1	가격문의		Q		아메리카노 한 잔에 얼마죠?				"아메리카노, 한 잔"		
점원	2500원입니다.	F	카페	카페	0	2	가격문의		A					2500원입니다.	2500원		
고객	사이즈업 되나요?	F	카페	카페	1	3	사이즈문의		Q		사이즈업 되나요?				사이즈업		
점원	네 가능합니다.	F	카페	카페	0	4	사이즈문의		A					네 가능합니다.			
고객	두 잔 테이크아웃 할게요.	F	카페	카페	1	5	테이크아웃요구		Q		두 잔 테이크아웃 할게요.				"두 잔, 테이크아웃"		
점원	네.	F	카페	카페	0	6	테이크아웃요구		A					네.			
고객	이 쿠폰 쓸 수 있죠?	F	카페	카페	1	7	기프티콘쿠폰멤버십사용문의		Q		이 쿠폰 쓸 수 있죠?				쿠폰		
점원	네.	F	카페	카페	0	8	기프티콘쿠폰멤버십사용문의		A					네.			
고객	얼마나 걸리나요?	F	카페	카페	1	9	제조시간문의		Q		얼마나 걸리나요?						
점원	바로 만들어드릴게요.	F	카페	카페	0	10	제조시간문의		A					바로 만들어드릴게요.			
고객	카푸치노 한잔이랑 아메리카노 두잔 주세요.	F	카페	카페	1	1	일반주문		Q		카푸치노 한 잔이랑 아메리카노 두 잔 주세요.				"카푸치노, 한 잔, 아메리카노, 두 잔"		
점원	"네, 뜨거운 음료로 드릴까요?"	F	카페	카페	0	2	일반주문	음료온도	Q			"네, 뜨거운 음료로 드릴까요?"			뜨거운 음료		
고객	카푸치노는 빅사이즈로 주시고 아메리카노는 스몰로 주시겠어요?	F	카페	카페	1	3	사이즈요구		Q		카푸치노는 빅 사이즈로 주시고 아메리카노는 스몰로 주시겠어요?				"카푸치노, 빅 사이즈, 아메리카노, 스몰"		
점원	"네, 다른거 더 필요한거 없으세요?"	F	카페	카페	0	4	사이즈요구	공통	Q			"네, 다른 거 더 필요한 거 없으세요?"					
고객	얼마나 걸릴까요?	F	카페	카페	1	5	제조시간문의		Q		얼마나 걸릴까요?						
점원	대략 5분정도 걸립니다.	F	카페	카페	0	6	제조시간문의		A					대략 5분 정도 걸립니다.	5분		
고객	음료랑 다 해서 얼마에요?	F	카페	카페	1	7	가격문의		Q		음료랑 다 해서 얼마에요?				"음료, 얼마"		
점원	"14,500원입니다."	F	카페	카페	0	8	가격문의		A					"14,500원입니다."	"14,500원"		
고객	죄송한데 조각 케이크도 추가해주시겠어요?	F	카페	카페	1	9	메뉴추가주문		Q		죄송한데 조각 케이크도 추가해주시겠어요?				"조각 케이크, 추가"		
점원	"네, 어떤 거로 드릴까요?"	F	카페	카페	0	10	메뉴추가주문	메뉴종류	Q			"네, 어떤 거로 드릴까요?"					
고객	아메리카노 한잔 주세요.	F	카페	카페	1	1	일반주문		Q		아메리카노 한잔 주세요.				"아메리카노, 한 잔"		
점원	드시고 가시나요?	F	카페	카페	0	2	일반주문	테이크아웃여부	Q			드시고 가시나요?					
고객	"네, 텀블러에 담아주실 수 있나요? "	F	카페	카페	1	3	텀블러사용		Q		"네, 텀블러에 담아주실 수 있나요? "				텀블러		
점원	네 그럼요.	F	카페	카페	0	4	텀블러사용		A					네 그럼요.			
고객	텀블러 할인 있나요?	F	카페	카페	1	5	텀블러할인문의		Q		텀블러 할인 있나요?				"텀블러, 할인"		
점원	네 500원 할인되세요.	F	카페	카페	0	6	텀블러할인문의		A					네 500원 할인되세요.	"500원, 할인"		
고객	치즈케익도 하나 주세요.	F	카페	카페	1	7	메뉴추가주문		Q		치즈케이크도 하나 주세요.				"치즈케이크, 하나"		
점원	네 결제 도와드릴게요.	F	카페	카페	0	8	결제요청		A					네 결제 도와드릴게요.	결제		
고객	삼성페이 되나요?	F	카페	카페	1	9	모바일페이결제		Q		삼성페이 되나요?				삼성페이		
점원	네 가능하세요.	F	카페	카페	0	10	모바일페이결제		A					네 가능하세요.			
고객	아메리카노 한잔 주문 할 수 있을까요?	F	카페	카페	1	1	일반주문		Q		아메리카노 한 잔 주문할 수 있을까요?				"아메리카노, 한 잔, 주문"		
점원	"네, 주문 가능합니다."	F	카페	카페	0	2	일반주문		A					"네, 주문 가능합니다."	"주문, 가능"		
고객	아메리카노는 어떤 종류가 있나요?	F	카페	카페	1	3	메뉴문의		Q		아메리카노는 어떤 종류가 있나요?				"아메리카노, 종류"		
점원	디카페인과 기본 아메리카노 2종류 있습니다.	F	카페	카페	0	4	메뉴문의		A					디카페인과 기본 아메리카노 2종류 있습니다.	"디카페인, 기본, 아메리카노, 2종류"		
고객	디카페인으로 한잔 주문할게요.	F	카페	카페	1	5	일반주문		Q		디카페인으로 한 잔 주문할게요.				"디카페인, 한 잔"		
점원	결제는 어떻게 도와드릴까요?	F	카페	카페	0	6	결제요청	결제수단	Q			결제는 어떻게 도와드릴까요?			결제		
고객	카카오 페이로 결제 가능한가요?	F	카페	카페	1	7	모바일페이결제		Q		카카오 페이로 결제 가능한가요?				"카카오 페이, 결제, 가능"		
점원	"네, 가능합니다."	F	카페	카페	0	8	모바일페이결제		A					"네, 가능합니다."	가능		
고객	포인트 적립 같이 할 수 있나요?	F	카페	카페	1	9	쿠폰멤버십적립문의		Q		포인트 적립같이 할 수 있나요?				"포인트, 적립"		
점원	"네, 같이 적립해 드리겠습니다."	F	카페	카페	0	10	쿠폰멤버십적립문의		A					"네, 같이 적립해 드리겠습니다."	적립		
고객	커피 주문할게요	F	카페	카페	1	1	메뉴문의		Q		커피 주문할게요				"커피, 주문"		
점원	네 어떤걸로 하시겠습니까	F	카페	카페	0	2	메뉴문의	메뉴종류	Q			네 어떤 걸로 하시겠습니까					
고객	네 오늘의 커피로 주세요	F	카페	카페	1	3	일반주문		Q		네 오늘의 커피로 주세요				커피		
점원	네 사이즈는 어떤걸로 주문넣어 드릴까요	F	카페	카페	0	4	일반주문	사이즈	Q			네 사이즈는 어떤 걸로 주문 넣어 드릴까요			"사이즈, 주문"		
고객	아 네 제일 양이 적은 숏으로 할게요	F	카페	카페	1	5	사이즈요구		Q		아 네 제일 양이 적은 숏으로 할게요				"양, 숏"		
점원	아 네 알겠습니다. 	F	카페	카페	0	6	사이즈요구		A					아 네 알겠습니다. 			
고객	근데 오늘의 커피는 무슨커피로 하나요 매번 맛이 다르던데	F	카페	카페	1	7	메뉴문의		Q		근데 오늘의 커피는 무슨 커피로 하나요 매번 맛이 다르던데				"커피, 맛"		
점원	아 네 오늘은 과테말라 커피입니다	F	카페	카페	0	8	메뉴문의		A					아 네 오늘은 과테말라 커피입니다	"콰테말라, 커피"		
고객	아네 제가 젤 좋아하는 커피인데요	F	카페	카페	1	9			A				아네 제가 젤 좋아하는 커피인데요		커피		
점원	오늘 딱 맞게 오셨네요	F	카페	카페	0	10			A					오늘 딱 맞게 오셨네요			
고객	페퍼민트 티 하나주세요.	F	카페	카페	1	1	일반주문		Q		페퍼민트 티 하나 주세요.				"페퍼민트 티, 하나"		
점원	따뜻한 것으로 드릴가요?	F	카페	카페	0	2	일반주문	음료온도	Q			따뜻한 것으로 드릴 가요?					
고객	사이즈업 되나요?	F	카페	카페	1	3	사이즈문의		Q		사이즈업 되나요?				사이즈업		
점원	"아니요, 한 사이즈로만 판매하고 있습니다."	F	카페	카페	0	4	사이즈문의		A					"아니요, 한 사이즈로만 판매하고 있습니다."	"한 사이즈, 판매"		
고객	머핀은 뭐가 제일 맛있나요?	F	카페	카페	1	5	메뉴추천요구		Q		머핀은 뭐가 제일 맛있나요?				머핀		
점원	블루베리 머핀이 잘 나갑니다.	F	카페	카페	0	6	메뉴추천요구		A					블루베리 머핀이 잘 나갑니다.	블루베리 머핀		
고객	그럼 블루베리 머핀도 같이 주세요.	F	카페	카페	1	7	일반주문		Q		그럼 블루베리 머핀도 같이 주세요.				블루베리 머핀		
점원	"네, 더 필요한 거 없으신가요?"	F	카페	카페	0	8	일반주문	공통	Q			"네, 더 필요한 거 없으신가요?"					
고객	현금 영수증 해주세요.	F	카페	카페	1	9	현금영수증요청		Q		현금 영수증 해주세요.				현금 영수증		
점원	"네, 번호 찍어주세요."	F	카페	카페	0	10	현금영수증요청		A					"네, 번호 찍어주세요."	번호		
고객	주문하려고 해요.	F	카페	카페	1	1	메뉴문의		Q		주문하려고 해요.				주문		
점원	네 손님. 메뉴는 어떻게 드릴까요?	F	카페	카페	0	2	메뉴문의	메뉴종류	Q			네 손님. 메뉴는 어떻게 드릴까요?			메뉴		
고객	아이스 아메리카노랑 따뜻한 라떼로 주세요.	F	카페	카페	1	3	일반주문		Q		아이스 아메리카노랑 따뜻한 라떼로 주세요.				"아이스 아메리카노, 라떼"		
점원	사이즈는 어떻게 드릴까요?	F	카페	카페	0	4	일반주문	사이즈	Q			사이즈는 어떻게 드릴까요?			사이즈		
고객	둘 다 톨 사이즈로 주세요.	F	카페	카페	1	5	사이즈요구		Q		둘 다 톨 사이즈로 주세요.				"둘, 톨 사이즈"		
점원	"여기서 드시고 가나요, 가져가시나요?"	F	카페	카페	0	6	일반주문	테이크아웃여부	Q			"여기서 드시고 가나요, 가져가시나요?"					
고객	여기서 먹고 가겠습니다.	F	카페	카페	1	7	일반주문	테이크아웃여부	A				여기서 먹고 가겠습니다.				
점원	요즘 환경정책때문에 머그잔으로 드리도록 하겠습니다.	F	카페	카페	0	8	사이즈요구		A	5				요즘 환경정책때문에 머그잔으로 드리도록 하겠습니다.	"환경정책, 머그잔"		
고객	아 그리고 라떼는 우유 좀 적게 주세요.	F	카페	카페	1	9	물우유량요구		Q		아 그리고 라떼는 우유 좀 적게 주세요.				"라떼, 우유"		
점원	"네, 모두 다 해서 8,000원 나왔습니다."	F	카페	카페	0	10	결제요청		A					"네, 모두 다 해서 8,000원 나왔습니다."	"8,000원"		
고객	아아 주문 가능한가요?	F	카페	카페	1	1	영업시간문의		Q		아아 주문 가능한가요?				"아아, 주문"		
점원	네 당연히 가능합니다. 	F	카페	카페	0	2	영업시간문의		A					네 당연히 가능합니다. 			
고객	언제 음료가 나오나요?	F	카페	카페	1	3	제조시간문의		Q		언제 음료가 나오나요?				음료		
점원	10분 내로 나갑니다. 	F	카페	카페	0	4	제조시간문의		A					10분 내로 나갑니다. 	"10분, 내"		
고객	혹시 아이리쉬 커피도 판매하나요?	F	카페	카페	1	5	메뉴문의		Q		혹시 아이리시 커피도 판매하나요?				"아이리시 커피, 판매"		
점원	아니요 아이리쉬 커피는 판매하지 않습니다. 	F	카페	카페	0	6	메뉴문의		A					아니요 아이리쉬 커피는 판매하지 않습니다. 	"아이리시 커피, 판매"		
고객	캐리어에 넣어 주실 수 있나요?	F	카페	카페	1	7	캐리어요구		Q		캐리어에 넣어 주실 수 있나요?				캐리어		
점원	아뇨 캐리어는 2개 이상부터 가능해요.	F	카페	카페	0	8	캐리어요구		A					아뇨 캐리어는 2개 이상부터 가능해요.	"캐리어, 2개, 이상"		
고객	실내에서 일회용 사용 가능한가요?	F	카페	카페	1	9	매장내에서일회용사용문의		Q		실내에서 일회용 사용 가능한가요?				"실내, 일회용, 사용"		
점원	아뇨 현재 법적으로 금지하고 있어요.	F	카페	카페	0	10	매장내에서일회용사용문의		A					아뇨 현재 법적으로 금지하고 있어요.	"현재, 법적, 금지"		
고객	한사람당 한잔씩 시켜야 하나요?	F	카페	카페	1	1	1인1잔문의		Q		한 사람당 한 잔씩 시켜야 하나요?				"한 사람, 한 잔"		
점원	저희 매장은 1인 1잔이 기본입니다.	F	카페	카페	0	2	1인1잔문의		A					저희 매장은 1인 1잔이 기본입니다.	"매장, 1인, 1잔, 기본"		
고객	쿠키프라페에 휘핑 들어가있나요?	F	카페	카페	1	3	재료문의		Q		쿠키 프라페에 휘핑 들어가 있나요?				"쿠키 프라페, 휘핑"		
