SPEAKER,SENTENCE,DOMAINID,DOMAIN,CATEGORY,SPEAKERID,SENTENCEID,MAIN,SUB,QA,QACNCT,MQ,SQ,UA,SA,개체명,용어사전,지식베이스,
고객,여기 #주소#인데 배달되나요?,A,음식점,배달음식점,1,11,배달장소범위문의,,Q,,여기 #주소#인데 배달되나요?,,,,"#주소#, 배달",,#주소#/배달지,
점원,#주소#는 안됩니다,A,음식점,배달음식점,0,12,배달장소범위문의,,A,,,,,#주소#는 안됩니다,#주소#,,#주소#/배달지,
고객,중국집 명성루죠? 배달 지금 가능한가요?,A,음식점,배달음식점,1,1,배달가능문의,,Q,,중국집 명성루죠? 배달 지금 가능한가요?,,,,"중국집, 명성루, 배달, 지금, 가능",,명성루/상호,
점원,예 배달 가능합니다,A,음식점,배달음식점,0,2,배달가능문의,,A,,,,,예 배달 가능합니다,"배달, 가능",,,
고객,주로 어떤 게 잘 나가요?,A,음식점,배달음식점,1,3,베스트메뉴문의추천요청,,Q,,주로 어떤 게 잘 나가요?,,,,,,,
점원,탕수육에 짜장이나 짬뽕 세트가 잘 나가죠 ,A,음식점,배달음식점,0,4,베스트메뉴문의추천요청,,A,,,,,탕수육에 짜장이나 짬뽕 세트가 잘 나가죠 ,"탕수육, 짜장, 짬뽕, 세트",,"탕수육/메뉴, 짜장/메뉴, 짬뽕/메뉴",
고객,4인이 먹을 수 있을까요?,A,음식점,배달음식점,1,5,양에대한질문,,Q,,4인이 먹을 수 있을까요?,,,,4인,,4인/인원,
점원,네 명 드시기엔 세트가 양이 적어요 네 명 드시려면 탕수육 중자는 가야죠,A,음식점,배달음식점,0,6,양에대한질문,,A,,,,,네 명 드시기엔 세트가 양이 적어요 네 명 드시려면 탕수육 중자는 가야죠,"네 명, 세트, 양, 네 명, 탕수육, 중",,"네 명/인원, 네 명/인원, 탕수육/메뉴, 중/사이즈",
고객,중자는 얼마에요?,A,음식점,배달음식점,1,7,가격문의,,Q,,중자는 얼마에요?,,,,중,,중/사이즈,
점원,중자는 2만 2천 원요,A,음식점,배달음식점,0,8,가격문의,,A,,,,,중자는 2만 2천 원요,"중, 2만 2천 원",,"중/사이즈, 2만 2천 원/금액",
고객,탕수육에 들어가는 고기가 돼지고기죠?,A,음식점,배달음식점,1,9,식재료문의,,Q,,탕수육에 들어가는 고기가 돼지고기죠?,,,,"탕수육, 고기, 돼지고기",,"탕수육/메뉴, 고기/재료, 돼지고기/재료",
점원,어느 집이든지 다 돼지고기입니다,A,음식점,배달음식점,0,10,식재료문의,,A,,,,,어느 집이든지 다 돼지고기입니다,"집, 돼지고기",,돼지고기/재료,
고객,그럼 국내산 쓰나요?,A,음식점,배달음식점,1,11,원산지문의,,Q,,그럼 국내산 쓰나요?,,,,국내산,,국내산/원산지,
점원,예 돼지고기는 다 국내산입니다,A,음식점,배달음식점,0,12,원산지문의,,A,,,,,예 돼지고기는 다 국내산입니다,"돼지고기, 국내산",,"돼지고기/재료, 국내산/원산지",
고객,근데 칠리 탕수육도 있고 사천 탕수육도 있던데 어떤 게 나아요?,A,음식점,배달음식점,1,13,메뉴차이문의,,Q,,근데 칠리 탕수육도 있고 사천 탕수육도 있던데 어떤 게 나아요?,,,,"칠리 탕수육, 사천 탕수육",,"칠리 탕수육/메뉴, 사천 탕수육/메뉴",
점원,학생들은 칠리 좋아하고 일반 어른분들은 일반 탕수육 좋아합니다,A,음식점,배달음식점,0,14,메뉴차이문의,,A,,,,,학생들은 칠리 좋아하고 일반 어른분들은 일반 탕수육 좋아합니다,"학생들, 칠리, 일반 어른, 일반 탕수육",칠리/칠리 탕수육,"학생들/연령대, 칠리 탕수육/메뉴, 일반 어른/연령대, 일반 탕수육/메뉴",
고객,그러면 4인 가족이면 탕수육 하나에 딴 거 어떤 거 시켜요?,A,음식점,배달음식점,1,15,취향에따른메뉴추천요구,,Q,,그러면 4인 가족이면 탕수육 하나에 딴 거 어떤 거 시켜요?,,,,"4인 가족, 탕수육, 하나",,"4인 가족/인원, 탕수육/메뉴, 하나/수량",
점원,짜장면 짬뽕 해물짬뽕 사람마다 좋아하시는 게 다 달라요,A,음식점,배달음식점,0,16,취향에따른메뉴추천요구,,A,,,,,짜장면 짬뽕 해물짬뽕 사람마다 좋아하시는 게 다 달라요,"짜장면, 짬뽕, 해물짬뽕, 사람",,"짜장면/메뉴, 짬뽕/메뉴, 해물짬뽕/메뉴",
고객,해물짬뽕에 어떤 거 들어가요?,A,음식점,배달음식점,1,17,식재료문의,,Q,,해물짬뽕에 어떤 거 들어가요?,,,,해물짬뽕,,해물짬뽕/메뉴,
점원,해물 여러 가지 들어가요,A,음식점,배달음식점,0,18,식재료문의,,A,,,,,해물 여러 가지 들어가요,"해물, 여러 가지",,,
고객,예 얼마 정도 해요?,A,음식점,배달음식점,1,19,가격문의,,Q,,예 얼마 정도 해요?,,,,,,,
점원,해물짬뽕 보통 7500원짜리가 있어요,A,음식점,배달음식점,0,20,가격문의,,A,,,,,해물짬뽕 보통 7500원짜리가 있어요,"해물짬뽕, 보통, 7500원",,"해물짬뽕/메뉴, 7500원/금액",
고객,그러면 저희가 이거 지금 주문하면 몇 분 있으면 도착할까요?,A,음식점,배달음식점,1,21,배달시간문의,,Q,,그러면 저희가 이거 지금 주문하면 몇 분 있으면 도착할까요?,,,,"저희, 지금, 주문, 몇 분, 도착",,,
점원,거기 위치가 어디인가요?,A,음식점,배달음식점,0,22,주소지로배달요청,위치문의,Q,,,거기 위치가 어디인가요?,,,"위치, 어디",,,
고객,침산동 대구일중 근처요,A,음식점,배달음식점,1,23,주소지로배달요청,위치문의,A,,,,침산동 대구일중 근처요,,침산동 대구일중 근처,,침산동 대구일중 근처/배달지,
고객,지금 배달 가능한가요?,A,음식점,배달음식점,1,1,배달가능문의,,Q,,지금 배달 가능한가요?,,,,"지금, 배달, 가능",,,
점원,네 말씀 하세요,A,음식점,배달음식점,0,2,배달가능문의,,A,,,,,네 말씀 하세요,말씀,,,
고객,네 제가 지금 전단지 보고 전화드리는 건데 삼선짬뽕에 들어가는 해물은 어떤 거 있어요?,A,음식점,배달음식점,1,3,식재료문의,,Q,,네 제가 지금 전단지 보고 전화드리는 건데 삼선짬뽕에 들어가는 해물은 어떤 거 있어요?,,,,"지금, 전단지, 전화, 삼선짬뽕, 해물",,"삼선짬뽕/메뉴, 해물/재료",
점원,새우부터 시작해서 여러 가지 들어가요,A,음식점,배달음식점,0,4,식재료문의,,A,,,,,새우부터 시작해서 여러 가지 들어가요,"새우, 시작, 여러 가지",,새우/해물/재료,
고객,얼큰이 짬뽕은 어떤 게 맵기가?,A,음식점,배달음식점,1,5,맛에대한질문,,Q,,얼큰이 짬뽕은 어떤 게 맵기가?,,,,"얼큰이 짬뽕, 맵기",,얼큰이 짬뽕/메뉴,
점원,똑같아요 삼선짬뽕에서 조금 얼큰한 게 얼큰이 짬뽕이거든요,A,음식점,배달음식점,0,6,맛에대한질문,,A,,,,,똑같아요 삼선짬뽕에서 조금 얼큰한 게 얼큰이 짬뽕이거든요,"삼선짬뽕, 얼큰, 얼큰이 짬뽕",,"삼선짬뽕/메뉴, 얼큰이 짬뽕/메뉴",
고객,고기짬뽕은 돼지고기 들어가나요?,A,음식점,배달음식점,1,7,식재료문의,,Q,,고기짬뽕은 돼지고기 들어가나요?,,,,"고기짬뽕, 돼지고기",,"고기짬뽕/메뉴, 돼지고기/재료",
점원,네 고기짬뽕은 돼지고기고 차돌박이 짬뽕은 소고기고요,A,음식점,배달음식점,0,8,식재료문의,,A,,,,,네 고기짬뽕은 돼지고기고 차돌박이 짬뽕은 소고기고요,"고기짬뽕, 돼지고기, 차돌박이 짬뽕, 소고기",,"고기짬뽕/메뉴, 돼지고기/재료, 차돌박이 짬뽕/메뉴, 소고기/재료",
고객,전부 국산이에요?,A,음식점,배달음식점,1,9,원산지문의,,Q,,전부 국산이에요?,,,,"전부, 국산",,국산/원산지,
점원,돼지는 국산이고 차돌박이는 미국산이에요,A,음식점,배달음식점,0,10,원산지문의,,A,,,,,돼지는 국산이고 차돌박이는 미국산이에요,"돼지, 국산, 차돌박이, 미국산",,"돼지/재료, 국산/원산지, 차돌박이/재료, 미국산/원산지",
고객,잘 나가고 빨리 오는 짬뽕 종류는 메뉴가 어떤 거예요?,A,음식점,배달음식점,1,11,빨리되는메뉴문의,,Q,,잘 나가고 빨리 오는 짬뽕 종류는 메뉴가 어떤 거예요?,,,,빨리 오는 메뉴,,,
점원,볶아 놓은 걸 드리는 게 아니고 바로바로 볶기 때문에 짬뽕 종류는 똑같아요,A,음식점,배달음식점,0,12,빨리되는메뉴문의,,A,,,,,볶아 놓은 걸 드리는 게 아니고 바로바로 볶기 때문에 짬뽕 종류는 똑같아요,짬뽕 종류,,짬뽕/메뉴,
고객,세트 메뉴로 3인 가족이 먹을 수 있는거 소개해 주시겠어요?,A,음식점,배달음식점,1,13,세트메뉴종류문의,,Q,,세트 메뉴로 3인 가족이 먹을 수 있는거 소개해 주시겠어요?,,,,"세트 메뉴, 3인 가족, 소개",,"세트 메뉴/메뉴, 3인 가족/인원",
점원,짬뽕 종류에요 아니면 짜장면 종류에요 밥 종류에요?,A,음식점,배달음식점,0,14,식사배달요청,메뉴선택,Q,,,짬뽕 종류에요 아니면 짜장면 종류에요 밥 종류에요?,,,"짬뽕, 종류, 짜장면, 종류, 밥, 종류",,"짬뽕/메뉴, 짜장면/메뉴, 밥/메뉴",
고객,짬뽕 종류로요,A,음식점,배달음식점,1,15,식사배달요청,메뉴선택,A,,,,짬뽕 종류로요,,"짬뽕, 종류",,짬뽕/메뉴,
점원,얼큰한 걸 좋아하세요 아니면 보통으로 좋아하세요?,A,음식점,배달음식점,0,16,식사배달요청,양념,Q,,,얼큰한 걸 좋아하세요 아니면 보통으로 좋아하세요?,,,"얼큰, 보통",,"얼/맵기큰, 보통/맵기",
고객,좀 맵지 않았으면 좋겠는데 애가 있어가지고,A,음식점,배달음식점,1,17,식사배달요청,양념,A,,,,좀 맵지 않았으면 좋겠는데 애가 있어가지고,,,,,
점원,그러면 해물짬뽕 세트로 하세요,A,음식점,배달음식점,0,18,세트메뉴종류문의,,A,,,,,그러면 해물짬뽕 세트로 하세요,해물짬뽕 세트,,해물짬뽕 세트/세트메뉴,
고객,해물 짬뽕 세트는 얼마에요?,A,음식점,배달음식점,1,19,가격문의,,Q,,해물 짬뽕 세트는 얼마에요?,,,,"해물 잠뽕 세트, 얼마",,해물짬뽕 세트/세트메뉴,
점원,세트로 하시면 24000원요,A,음식점,배달음식점,0,20,가격문의,,A,,,,,세트로 하시면 24000원요,"세트, 24000원",,"세트/메뉴, 24000원/금액",
고객,아 그러면 배달비도 따로 내야 되나요?,A,음식점,배달음식점,1,21,배달비문의,,Q,,아 그러면 배달비도 따로 내야 되나요?,,,,배달비,,,
점원,배달비는 없습니다,A,음식점,배달음식점,0,22,배달비문의,,A,,,,,배달비는 없습니다,배달비,,,
고객,수고하십니다 죄송하지만 배달되나요?,A,음식점,배달음식점,1,1,배달가능문의,,Q,,수고하십니다 죄송하지만 배달되나요?,,,,"수고, 죄송, 배달",,,
점원,네,A,음식점,배달음식점,0,2,배달가능문의,,A,,,,,네,,,,
고객,짬뽕이나 간짜장 중에 어떤 게 잘 나가나요?,A,음식점,배달음식점,1,3,베스트메뉴문의추천요청,,Q,,짬뽕이나 간짜장 중에 어떤 게 잘 나가나요?,,,,"짬뽕, 간짜장",,"짬뽕/메뉴, 간짜장/메뉴",
점원,저는 배달하는 사람이라서 그건 잘 모르겠네요,A,음식점,배달음식점,0,4,베스트메뉴문의추천요청,,A,,,,,저는 배달하는 사람이라서 그건 잘 모르겠네요,"배달, 사람",,,
고객,배달 몇 시부터 몇 시까지 하시는데요?,A,음식점,배달음식점,1,5,배달시간문의,,Q,,배달 몇 시부터 몇 시까지 하시는데요?,,,,"배달, 몇 시, 몇 시",,,
점원,아침에 열시 반부터 저녁 여덟 시까지요,A,음식점,배달음식점,0,6,배달시간문의,,A,,,,,아침에 열시 반부터 저녁 여덟 시까지요,"아침 열시 반, 저녁 여덟 시",,"아침 열시 반/오픈시간, 저녁 여덟 시/마감시간",
고객,그러면 쟁반 야끼우동에 해물이 어떤 거 들어가는지 여쭤보려고 하는데,A,음식점,배달음식점,1,7,식재료문의,,Q,,그러면 쟁반 야끼우동에 해물이 어떤 거 들어가는지 여쭤보려고 하는데,,,,"쟁반 야끼우동, 해물",,"쟁반 야끼우동/메뉴, 해물/재료",
점원,저는 잘 몰라요,A,음식점,배달음식점,0,8,식재료문의,,A,,,,,저는 잘 몰라요,,,,
고객,수고하십니다 반점이죠?,A,음식점,배달음식점,1,1,매장확인,,Q,,수고하십니다 반점이죠?,,,,"수고, 반점",,,
점원,네,A,음식점,배달음식점,0,2,매장확인,,A,,,,,네,,,,
고객,배달 가능한가요?,A,음식점,배달음식점,1,3,배달가능문의,,Q,,배달 가능한가요?,,,,"배달, 가능",,,
점원,예,A,음식점,배달음식점,0,4,배달가능문의,,A,,,,,예,,,,
고객,메뉴로 어떤 게 있어요?,A,음식점,배달음식점,1,5,메뉴문의,,Q,,메뉴로 어떤 게 있어요?,,,,메뉴,,,
점원,중국집에 있는 메뉴는 다 돼요,A,음식점,배달음식점,0,6,메뉴문의,,A,,,,,중국집에 있는 메뉴는 다 돼요,"중국집, 메뉴",,,
고객,그러면 주로 어떤 거 시키나요 사람들이?,A,음식점,배달음식점,1,7,베스트메뉴문의추천요청,,Q,,그러면 주로 어떤 거 시키나요 사람들이?,,,,사람들,,,
점원,주로 밥 종류는 짬뽕 짜장면 간짜장 잡채밥 볶음밥 이렇게 시키세요,A,음식점,배달음식점,0,8,베스트메뉴문의추천요청,,A,,,,,주로 밥 종류는 짬뽕 짜장면 간짜장 잡채밥 볶음밥 이렇게 시키세요,"밥 종류, 짬뽕, 짜장면, 간짜장, 잡채밥, 볶음밥",,"짬뽕/메뉴, 짜장면/메뉴, 간짜장/메뉴, 잡채밥/메뉴, 볶음밥/메뉴",
고객,아 그러면 세트 메뉴는 따로?,A,음식점,배달음식점,1,9,세트메뉴종류문의,,Q,,아 그러면 세트 메뉴는 따로?,,,,세트 메뉴,,세트 메뉴/메뉴,
점원,세트 메뉴도 있어요,A,음식점,배달음식점,0,10,세트메뉴종류문의,,A,,,,,세트 메뉴도 있어요,세트 메뉴,,세트 메뉴/메뉴,
고객,세트 메뉴로 된 거는 가격이 얼마에요?,A,음식점,배달음식점,1,11,가격문의,,Q,,세트 메뉴로 된 거는 가격이 얼마에요?,,,,"세트 메뉴, 가격, 얼마",,세트 메뉴/메뉴,
점원,짜장면 두 개 있는 세트 메뉴는 18000원이에요,A,음식점,배달음식점,0,12,가격문의,,A,,,,,짜장면 두 개 있는 세트 메뉴는 18000원이에요,"짜장면, 두 개, 세트 메뉴, 18000원",,"짜장면/메뉴, 두 개/수량, 세트 메뉴/메뉴, 18000원/금액",
고객,그러면 탕수육이 4인 가족이 먹을 수 있나요 세트 메뉴로 시키면?,A,음식점,배달음식점,1,13,양에대한질문,,Q,,그러면 탕수육이 4인 가족이 먹을 수 있나요 세트 메뉴로 시키면?,,,,"탕수육, 4인 가족, 세트 메뉴",,"탕수육/메뉴, 4인 가족/인원, 세트 메뉴/메뉴",
점원,탕수육 보통이 17000원인데 그거 시키는 게 나을 거 같아요,A,음식점,배달음식점,0,14,양에대한질문,,A,,,,,탕수육 보통이 17000원인데 그거 시키는 게 나을 거 같아요,"탕수육, 보통, 17000원",,"탕수육/메뉴, 보통/사이즈, 17000원/금액",
고객,아 그거 시키고 다른 거 또 시켜야 돼요?,A,음식점,배달음식점,1,15,양에대한질문,,Q,,아 그거 시키고 다른 거 또 시켜야 돼요?,,,,,,,
점원,예예,A,음식점,배달음식점,0,16,양에대한질문,,A,,,,,예예,,,,
고객,지금 안에 들어가는 게 돼지고기죠?,A,음식점,배달음식점,1,17,식재료문의,,Q,,지금 안에 들어가는 게 돼지고기죠?,,,,"지금, 안, 돼지고기",,돼지고기/재료,
점원,예예,A,음식점,배달음식점,0,18,식재료문의,,A,,,,,예예,,,,
고객,국내산 쓰나요 아니면 수입산 쓰나요?,A,음식점,배달음식점,1,19,원산지문의,,Q,,국내산 쓰나요 아니면 수입산 쓰나요?,,,,"국내산, 수입산",,"국내산/원산지, 수입산/원산지",
점원,국내산 써요,A,음식점,배달음식점,0,20,원산지문의,,A,,,,,국내산 써요,국내산,,국내산/원산지,
고객,그러면 배달비는 따로 드려야 돼요?,A,음식점,배달음식점,1,21,배달비문의,,Q,,그러면 배달비는 따로 드려야 돼요?,,,,배달비,,,
점원,아니요 그런 거 없어요,A,음식점,배달음식점,0,22,배달비문의,,A,,,,,아니요 그런 거 없어요,,,,
고객,그러면 배달 몇 시까지 해요?,A,음식점,배달음식점,1,23,클로징시간문의,,Q,,그러면 배달 몇 시까지 해요?,,,,"배달, 몇 시",,,
점원,아 지금 시키셔야 돼요,A,음식점,배달음식점,0,24,클로징시간문의,,A,,,,,아 지금 시키셔야 돼요,지금,,,
고객,몇 시에 문 닫아요?,A,음식점,배달음식점,1,25,클로징시간문의,,Q,,몇 시에 문 닫아요?,,,,"몇 시, 문",,,
점원,보통은 한 여덟 시 정도 닫아요,A,음식점,배달음식점,0,26,클로징시간문의,,A,,,,,보통은 한 여덟 시 정도 닫아요,"보통, 여덟 시",,여덟 시/마감시간,
고객,그러면 계산할 때 현금하고 카드만 돼요?,A,음식점,배달음식점,1,27,결제방식선택,,Q,,그러면 계산할 때 현금하고 카드만 돼요?,,,,"계산, 현금, 카드",,"현금/결제방식, 카드/결제방식",
점원,현금밖에 안돼요,A,음식점,배달음식점,0,28,결제방식선택,,A,,,,,현금밖에 안돼요,현금,,현금/결제방식,
고객,중국집 아닌가요 반점?,A,음식점,배달음식점,1,1,매장확인,,Q,,중국집 아닌가요 반점?,,,,"중국집, 반점",,,
점원,예예 맞아요,A,음식점,배달음식점,0,2,매장확인,,A,,,,,예예 맞아요,,,,
고객,배달되나요?,A,음식점,배달음식점,1,3,배달가능문의,,Q,,배달되나요?,,,,배달,,,
점원,지금 끝났는데요 죄송해요,A,음식점,배달음식점,0,4,배달가능문의,,A,,,,,지금 끝났는데요 죄송해요,"지금, 죄송",,,
고객,아 그러면 몇 시까지 배달하시는데요?,A,음식점,배달음식점,1,5,클로징시간문의,,Q,,아 그러면 몇 시까지 배달하시는데요?,,,,"몇 시, 배달",,,
점원,예 보통 한 20분 정도 되면 끝냅니다,A,음식점,배달음식점,0,6,클로징시간문의,,A,,,,,예 보통 한 20분 정도 되면 끝냅니다,"보통, 20분",,20분/시간,
고객,주로 뭐 잘 나가요? 빨리 나올 수 있는 요리가 있나요?,A,음식점,배달음식점,1,7,베스트메뉴문의추천요청,,Q,,주로 뭐 잘 나가요? 빨리 나올 수 있는 요리가 있나요?,,,,요리,,,
점원,류산슬 팔보채 양장피 이런 거 고급 음식이라 잘 나갑니다,A,음식점,배달음식점,0,8,베스트메뉴문의추천요청,,A,,,,,류산슬 팔보채 양장피 이런 거 고급 음식이라 잘 나갑니다,"류산슬, 팔보채, 양장피, 고급 음식",,"류산슬/메뉴, 팔보채/메뉴, 양장피/메뉴",
고객,그거는 가격이 얼마에요?,A,음식점,배달음식점,1,9,가격문의,,Q,,그거는 가격이 얼마에요?,,,,"가격, 얼마",,,
점원,35000원씩요,A,음식점,배달음식점,0,10,가격문의,,A,,,,,35000원씩요,35000원,,35000원/금액,
고객,그거는 몇 인분이에요?,A,음식점,배달음식점,1,11,양에대한질문,,Q,,그거는 몇 인분이에요?,,,,몇 인분,,,
점원,주로 술안주로 드시기 때문에 네 명 정도 드실 수 있어요,A,음식점,배달음식점,0,12,양에대한질문,,A,,,,,주로 술안주로 드시기 때문에 네 명 정도 드실 수 있어요,"술안주, 네 명",,네 명/인원,
고객,그러면 배달을 몇 시부터 몇 시까지?,A,음식점,배달음식점,1,13,영업시간문의,,Q,,그러면 배달을 몇 시부터 몇 시까지?,,,,"배달, 몇 시, 몇 시",,,
점원,배달은 열한 시부터 해요,A,음식점,배달음식점,0,14,영업시간문의,,A,,,,,배달은 열한 시부터 해요,"저희, 배달, 열한 시",,열한 시/시간,
고객,배달비는 따로 드려야 되나요?,A,음식점,배달음식점,1,15,배달비문의,,Q,,배달비는 따로 드려야 되나요?,,,,배달비,,,
점원,아니요 그런 거 없어요,A,음식점,배달음식점,0,16,배달비문의,,A,,,,,아니요 그런 거 없어요,,,,
고객,그러면 짬뽕은 한 그릇에 얼마나 해요?,A,음식점,배달음식점,1,17,가격문의,,Q,,그러면 짬뽕은 한 그릇에 얼마나 해요?,,,,"짬뽕, 한 그릇, 얼마",,"짬뽕/메뉴, 한 그릇/수량",
점원,짬뽕은 5500원요,A,음식점,배달음식점,0,18,가격문의,,A,,,,,짬뽕은 5500원요,"짬뽕, 5500원",,"짬뽕/메뉴, 5500원/금액",
고객,해산물은 어떤 거 들어가요?,A,음식점,배달음식점,1,19,식재료문의,,Q,,해산물은 어떤 거 들어가요?,,,,해산물,해산물/해물,해물/재료,
점원,홍합하고 바지락하고 여러 가지 넣어요,A,음식점,배달음식점,0,20,식재료문의,,A,,,,,홍합하고 바지락하고 여러 가지 넣어요,"홍합, 바지락, 여러 가지",,"홍합/해물/재료, 바지락/해물/재료",
고객,그러면 세트메뉴도 있어요 짬뽕 들어간 세트메뉴?,A,음식점,배달음식점,1,21,세트메뉴종류문의,,Q,,그러면 세트메뉴도 있어요 짬뽕 들어간 세트메뉴?,,,,"세트메뉴, 짬뽕, 세트메뉴",,"세트메뉴/메뉴, 짬뽕/메뉴, 세트메뉴/메뉴",
점원,짬뽕 두 개 들어간 세트메뉴 있어요,A,음식점,배달음식점,0,22,세트메뉴종류문의,,A,,,,,짬뽕 두 개 들어간 세트메뉴 있어요,"짬뽕, 두 개, 세트메뉴",,"짬뽕/메뉴, 두 개/수량, 세트메뉴/메뉴",
고객,그러면 4인 가족이 먹을 수 있는 걸로 짬뽕이랑 섞여서 가격대는 얼마 정도 지불해야 돼요?,A,음식점,배달음식점,1,23,가격문의,,Q,,그러면 4인 가족이 먹을 수 있는 걸로 짬뽕이랑 섞여서 가격대는 얼마 정도 지불해야 돼요?,,,,"4인 가족, 짬뽕, 가격대, 얼마, 지불",,"4인 가족/인원, 짬뽕/메뉴",
점원,짬뽕 두 개 나가고 미니탕수육 세트는 18000원이에요,A,음식점,배달음식점,0,24,가격문의,,A,,,,,짬뽕 두 개 나가고 미니탕수육 세트는 18000원이에요,"짬뽕, 두 개, 미니탕수육 세트, 18000원",,"짬뽕/메뉴, 두 개/수량, 미니탕수육 세트/세트메뉴, 18000원/금액",
고객,수고하십니다 반점이죠 배달 가능한가요?,A,음식점,배달음식점,1,1,배달가능문의,,Q,,수고하십니다 반점이죠 배달 가능한가요?,,,,"수고, 반점, 배달, 가능",,,
점원,네,A,음식점,배달음식점,0,2,배달가능문의,,A,,,,,네,,,,
고객,짬뽕 종류는 어떤 게 있어요?,A,음식점,배달음식점,1,3,메뉴문의,,Q,,짬뽕 종류는 어떤 게 있어요?,,,,"짬뽕, 종류",,짬뽕/메뉴,
점원,일반 짬뽕 얼큰이 짬뽕 불짬뽕 해물짬뽕 전복 삼선짬뽕 있어요,A,음식점,배달음식점,0,4,메뉴문의,,A,,,,,일반 짬뽕 얼큰이 짬뽕 불짬뽕 해물짬뽕 전복 삼선짬뽕 있어요,"일반 짬뽕, 얼큰이 짬뽕, 불짬뽕, 해물짬뽕, 전복 삼선짬뽕",,"일반 짬뽕/메뉴, 얼큰이 짬뽕/메뉴, 불짬뽕/메뉴, 해물짬뽕/메뉴, 전복 삼선짬뽕/메뉴",
고객,가격대는 얼마부터 얼마까지 있어요?,A,음식점,배달음식점,1,5,가격문의,,Q,,가격대는 얼마부터 얼마까지 있어요?,,,,,,,
점원,일반 짬뽕은 6000원이고 얼큰이 하고 삼선짬뽕은 8000원씩이고 해물짬뽕은 12000원 생굴짬뽕은 11000원이에요,A,음식점,배달음식점,0,6,가격문의,,A,,,,,일반 짬뽕은 6000원이고 얼큰이 하고 삼선짬뽕은 8000원씩이고 해물짬뽕은 12000원 생굴짬뽕은 11000원이에요,"일반 짬뽕, 6000원, 얼큰이, 삼선짬뽕, 8000원, 해물짬뽕, 12000원, 생굴짬뽕, 11000원",,"일반 짬뽕/메뉴, 6000원/금액, 얼큰이/메뉴, 삼선짬뽕/메뉴, 8000원/금액, 해물짬뽕/메뉴, 12000원/금액, 생굴짬뽕/메뉴, 11000원/금액",
고객,그러면 제일 빨리 나오는 게 어떤 짬뽕이에요?,A,음식점,배달음식점,1,7,빨리되는메뉴문의,,Q,,그러면 제일 빨리 나오는 게 어떤 짬뽕이에요?,,,,,,,
점원,일반 짬뽕이 제일 빨리 나오죠,A,음식점,배달음식점,0,8,빨리되는메뉴문의,,A,,,,,일반 짬뽕이 제일 빨리 나오죠,일반 짬뽕,,일반 짬뽕/메뉴,
